Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 3.69618e+07 1.67286e+06 3 0 12.2967 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 3.69618e+07 1.67127e+06 3.06148 1.22967 12.3177 1.18567 101289 297.98 0.750005 -21.7649 9.79827 0.896426 0.00355378 -9.77207 1585.7 0.00306148 
0.2 3.69618e+07 1.66969e+06 3.24604 2.46144 12.3386 1.18565 101287 297.979 0.750019 -87.2082 9.79826 3.59175 0.00711364 -9.77207 1585.7 0.00324604 
0.3 3.69618e+07 1.6681e+06 3.55388 3.69531 12.3596 1.18562 101284 297.977 0.750043 -196.553 9.79826 8.09498 0.0106796 -9.77207 1585.7 0.00355388 
0.4 3.69618e+07 1.66652e+06 3.98521 4.93127 12.3806 1.18557 101279 297.974 0.750076 -350.025 9.79826 14.415 0.0142516 -9.77206 1585.7 0.00398521 
0.5 3.69618e+07 1.66493e+06 4.54024 6.16933 12.4016 1.18551 101272 297.97 0.750119 -547.848 9.79826 22.5606 0.0178298 -9.77206 1585.7 0.00454024 
0.6 3.69618e+07 1.66334e+06 5.21918 7.40949 12.4226 1.18544 101264 297.966 0.750172 -790.25 9.79826 32.5406 0.0214141 -9.77205 1585.7 0.00521918 
0.7 3.69618e+07 1.66176e+06 6.02224 8.65176 12.4437 1.18535 101255 297.961 0.750235 -1077.46 9.79826 44.3633 0.0250046 -9.77205 1585.7 0.00602224 
0.8 3.69618e+07 1.66017e+06 6.94963 9.89613 12.4647 1.18524 101244 297.955 0.750307 -1409.7 9.79825 58.0375 0.0286013 -9.77204 1585.7 0.00694963 
0.9 3.69618e+07 1.65859e+06 8.00157 11.1426 12.4858 1.18513 101232 297.948 0.750389 -1787.2 9.79825 73.5713 0.0322041 -9.77204 1585.7 0.00800157 
1 3.69618e+07 1.657e+06 9.17826 12.3912 12.5069 1.185 101218 297.94 0.750481 -2210.2 9.79825 90.9732 0.0358132 -9.77203 1585.7 0.00917826 
1.1 3.69618e+07 1.65542e+06 10.4799 13.6419 12.5279 1.18486 101203 297.932 0.750584 -2678.93 9.79824 110.251 0.0394285 -9.77202 1585.7 0.0104799 
1.2 3.69618e+07 1.65383e+06 11.9067 14.8947 12.549 1.1847 101187 297.923 0.750696 -3193.61 9.79824 131.413 0.0430501 -9.77201 1585.7 0.0119067 
1.3 3.69618e+07 1.65224e+06 13.4589 16.1496 12.5702 1.18453 101169 297.913 0.750818 -3754.49 9.79823 154.468 0.0466779 -9.772 1585.7 0.0134589 
1.4 3.69618e+07 1.65066e+06 15.1368 17.4066 12.5913 1.18434 101149 297.902 0.750951 -4361.79 9.79823 179.422 0.050312 -9.77199 1585.7 0.0151368 
1.5 3.69618e+07 1.64907e+06 16.9404 18.6657 12.6124 1.18415 101128 297.89 0.751094 -5015.76 9.79822 206.283 0.0539525 -9.77197 1585.7 0.0169404 
1.6 3.69618e+07 1.64749e+06 18.87 19.9269 12.6336 1.18393 101106 297.877 0.751247 -5716.63 9.79822 235.06 0.0575993 -9.77196 1585.7 0.01887 
1.7 3.69618e+07 1.6459e+06 20.9259 21.1903 12.6547 1.18371 101082 297.864 0.751411 -6464.65 9.79821 265.76 0.0612524 -9.77194 1585.7 0.0209259 
1.8 3.69618e+07 1.64432e+06 23.1082 22.4558 12.6759 1.18347 101057 297.85 0.751585 -7260.05 9.7982 298.389 0.0649119 -9.77193 1585.7 0.0231082 
1.9 3.69618e+07 1.64273e+06 25.4171 23.7234 12.6971 1.18321 101030 297.835 0.75177 -8103.07 9.7982 332.955 0.0685778 -9.77191 1585.7 0.0254171 
2 3.69618e+07 1.64114e+06 27.8529 24.9931 12.7183 1.18295 101002 297.819 0.751965 -8993.96 9.79819 369.466 0.0722501 -9.7719 1585.7 0.0278529 
2.1 3.69618e+07 1.63956e+06 30.4158 26.2649 12.7395 1.18266 100972 297.802 0.752171 -9932.96 9.79818 407.928 0.0759289 -9.77188 1585.7 0.0304158 
2.2 3.69618e+07 1.63797e+06 33.106 27.5389 12.7607 1.18237 100941 297.785 0.752388 -10920.3 9.79817 448.348 0.0796141 -9.77186 1585.7 0.033106 
2.3 3.69618e+07 1.63639e+06 35.9237 28.8149 12.782 1.18206 100908 297.766 0.752616 -11956.3 9.79816 490.732 0.0833057 -9.77184 1585.7 0.0359237 
2.4 3.69618e+07 1.6348e+06 38.8691 30.0931 12.8032 1.18174 100874 297.747 0.752855 -13041.1 9.79816 535.088 0.0870038 -9.77182 1585.7 0.0388691 
2.5 3.69618e+07 1.63322e+06 41.9425 31.3735 12.8245 1.1814 100839 297.727 0.753105 -14175.1 9.79815 581.422 0.0907085 -9.7718 1585.7 0.0419425 
2.6 3.69618e+07 1.63163e+06 45.1439 32.6559 12.8457 1.18105 100802 297.707 0.753366 -15358.4 9.79814 629.739 0.0944197 -9.77177 1585.7 0.0451439 
2.7 3.69618e+07 1.63004e+06 48.4737 33.9405 12.867 1.18068 100763 297.685 0.753638 -16591.3 9.79813 680.047 0.0981374 -9.77175 1585.7 0.0484737 
2.8 3.69618e+07 1.62846e+06 51.9321 35.2272 12.8883 1.1803 100723 297.662 0.753921 -17874.1 9.79812 732.351 0.101862 -9.77173 1585.7 0.0519321 
2.9 3.69618e+07 1.62687e+06 55.5193 36.516 12.9096 1.17991 100682 297.639 0.754216 -19207 9.7981 786.657 0.105593 -9.7717 1585.7 0.0555193 
3 3.69618e+07 1.62529e+06 59.2354 37.807 12.9309 1.1795 100639 297.615 0.754523 -20590.3 9.79809 842.971 0.10933 -9.77167 1585.7 0.0592354 
3.1 3.69618e+07 1.6237e+06 63.0808 39.1001 12.9523 1.17908 100594 297.59 0.754841 -22024.3 9.79808 901.298 0.113074 -9.77165 1585.7 0.0630808 
3.2 3.69618e+07 1.62212e+06 67.0556 40.3953 12.9736 1.17864 100549 297.564 0.755171 -23509.2 9.79807 961.645 0.116825 -9.77162 1585.7 0.0670556 
3.3 3.69618e+07 1.62053e+06 71.16 41.6927 12.9949 1.1782 100501 297.537 0.755513 -25045.3 9.79806 1024.02 0.120582 -9.77159 1585.7 0.07116 
3.4 3.69618e+07 1.61894e+06 75.3942 42.9921 13.0163 1.17773 100452 297.51 0.755866 -26632.9 9.79804 1088.42 0.124346 -9.77156 1585.7 0.0753942 
3.5 3.69618e+07 1.61736e+06 79.7585 44.2938 13.0377 1.17725 100402 297.482 0.756232 -28272.2 9.79803 1154.85 0.128117 -9.77153 1585.7 0.0797585 
3.6 3.69618e+07 1.61577e+06 84.2531 45.5975 13.0591 1.17676 100350 297.452 0.75661 -29963.5 9.79802 1223.32 0.131895 -9.77149 1585.7 0.0842531 
3.7 3.69618e+07 1.61419e+06 88.8781 46.9035 13.0804 1.17626 100297 297.422 0.757 -31707.1 9.798 1293.84 0.135679 -9.77146 1585.7 0.0888781 
3.8 3.69618e+07 1.6126e+06 93.6339 48.2115 13.1018 1.17574 100242 297.391 0.757403 -33503.2 9.79799 1366.41 0.13947 -9.77143 1585.7 0.0936339 
3.9 3.69618e+07 1.61102e+06 98.5205 49.5217 13.1232 1.1752 100186 297.36 0.757818 -35352.2 9.79797 1441.03 0.143268 -9.77139 1585.7 0.0985205 
4 3.69618e+07 1.60943e+06 103.538 50.834 13.1447 1.17465 100128 297.327 0.758245 -37254.3 9.79796 1517.71 0.147073 -9.77136 1585.7 0.103538 
4.1 3.69618e+07 1.60784e+06 108.687 52.1485 13.1661 1.17409 100069 297.294 0.758686 -39209.8 9.79794 1596.45 0.150884 -9.77132 1585.7 0.108687 
4.2 3.69618e+07 1.60626e+06 113.968 53.4651 13.1875 1.17351 100008 297.259 0.759139 -41219.1 9.79792 1677.25 0.154703 -9.77128 1585.7 0.113968 
4.3 3.69618e+07 1.60467e+06 119.381 54.7838 13.209 1.17292 99946 297.224 0.759606 -43282.3 9.79791 1760.13 0.158528 -9.77124 1585.7 0.119381 
4.4 3.69618e+07 1.60309e+06 124.925 56.1047 13.2304 1.17232 99882.3 297.188 0.760085 -45399.9 9.79789 1845.08 0.16236 -9.7712 1585.7 0.124925 
4.5 3.69618e+07 1.6015e+06 130.602 57.4278 13.2519 1.1717 99817.1 297.151 0.760578 -47572 9.79787 1932.1 0.166199 -9.77116 1585.7 0.130602 
4.6 3.69618e+07 1.59992e+06 136.411 58.753 13.2734 1.17106 99750.5 297.113 0.761084 -49799.1 9.79786 2021.2 0.170045 -9.77112 1585.7 0.136411 
4.7 3.69618e+07 1.59833e+06 142.352 60.0803 13.2948 1.17042 99682.4 297.075 0.761604 -52081.4 9.79784 2112.39 0.173898 -9.77108 1585.7 0.142352 
4.8 3.69618e+07 1.59674e+06 148.427 61.4098 13.3163 1.16975 99612.7 297.035 0.762138 -54419.2 9.79782 2205.67 0.177758 -9.77103 1585.7 0.148427 
4.9 3.69618e+07 1.59516e+06 154.634 62.7414 13.3378 1.16908 99541.6 296.995 0.762685 -56812.8 9.7978 2301.03 0.181625 -9.77099 1585.7 0.154634 
5 3.69618e+07 1.59357e+06 160.975 64.0752 13.3593 1.16839 99469.1 296.954 0.763247 -59262.6 9.79778 2398.49 0.185499 -9.77094 1585.7 0.160975 
5.1 3.69618e+07 1.59199e+06 167.45 65.4111 13.3808 1.16768 99395 296.912 0.763822 -61768.8 9.79776 2498.04 0.18938 -9.77089 1585.7 0.16745 
5.2 3.69618e+07 1.5904e+06 174.058 66.7492 13.4024 1.16697 99319.5 296.869 0.764412 -64331.9 9.79774 2599.68 0.193268 -9.77085 1585.7 0.174058 
5.3 3.69618e+07 1.58882e+06 180.799 68.0894 13.4239 1.16623 99242.4 296.825 0.765017 -66952.1 9.79772 2703.43 0.197163 -9.7708 1585.7 0.180799 
5.4 3.69618e+07 1.58723e+06 187.676 69.4318 13.4454 1.16549 99163.9 296.78 0.765636 -69629.8 9.7977 2809.27 0.201065 -9.77075 1585.7 0.187676 
5.5 3.69618e+07 1.58564e+06 194.686 70.7764 13.467 1.16472 99083.9 296.735 0.76627 -72365.2 9.79768 2917.22 0.204974 -9.7707 1585.7 0.194686 
5.6 3.69618e+07 1.58406e+06 201.831 72.1231 13.4885 1.16395 99002.5 296.688 0.766919 -75158.9 9.79765 3027.28 0.208891 -9.77064 1585.7 0.201831 
5.7 3.69618e+07 1.58247e+06 209.111 73.4719 13.5101 1.16316 98919.5 296.641 0.767583 -78011 9.79763 3139.44 0.212814 -9.77059 1585.7 0.209111 
5.8 3.69618e+07 1.58089e+06 216.525 74.8229 13.5316 1.16235 98835.1 296.593 0.768263 -80922 9.79761 3253.7 0.216745 -9.77054 1585.7 0.216525 
5.9 3.69618e+07 1.5793e+06 224.075 76.1761 13.5532 1.16154 98749.1 296.544 0.768958 -83892.2 9.79759 3370.08 0.220683 -9.77048 1585.7 0.224075 
6 3.69618e+07 1.57772e+06 231.761 77.5314 13.5747 1.1607 98661.8 296.494 0.769669 -86921.9 9.79756 3488.56 0.224629 -9.77043 1585.7 0.231761 
6.1 3.69618e+07 1.57613e+06 239.582 78.8889 13.5963 1.15986 98572.9 296.443 0.770396 -90011.7 9.79754 3609.16 0.228581 -9.77037 1585.7 0.239582 
6.2 3.69618e+07 1.57454e+06 247.539 80.2485 13.6179 1.159 98482.5 296.391 0.77114 -93161.7 9.79751 3731.87 0.232541 -9.77031 1585.7 0.247539 
6.3 3.69618e+07 1.57296e+06 255.632 81.6103 13.6395 1.15812 98390.7 296.338 0.771899 -96372.5 9.79749 3856.68 0.236508 -9.77025 1585.7 0.255632 
6.4 3.69618e+07 1.57137e+06 263.861 82.9742 13.6611 1.15723 98297.4 296.285 0.772675 -99644.3 9.79746 3983.61 0.240483 -9.77019 1585.7 0.263861 
6.5 3.69618e+07 1.56979e+06 272.226 84.3404 13.6827 1.15633 98202.6 296.231 0.773468 -102978 9.79744 4112.65 0.244464 -9.77013 1585.7 0.272226 
6.6 3.69618e+07 1.5682e+06 280.729 85.7086 13.7043 1.15541 98106.4 296.175 0.774278 -106373 9.79741 4243.81 0.248454 -9.77007 1585.7 0.280729 
6.7 3.69618e+07 1.56662e+06 289.368 87.0791 13.7259 1.15448 98008.7 296.119 0.775106 -109830 9.79739 4377.07 0.25245 -9.77 1585.7 0.289368 
6.8 3.69618e+07 1.56503e+06 298.145 88.4516 13.7475 1.15353 97909.5 296.062 0.775951 -113351 9.79736 4512.44 0.256454 -9.76994 1585.7 0.298145 
6.9 3.69618e+07 1.56345e+06 307.059 89.8264 13.7691 1.15257 97808.8 296.004 0.776813 -116934 9.79733 4649.93 0.260465 -9.76987 1585.7 0.307059 
7 3.69618e+07 1.56186e+06 316.11 91.2033 13.7907 1.1516 97706.7 295.945 0.777694 -120581 9.7973 4789.52 0.264484 -9.7698 1585.7 0.31611 
7.1 3.69618e+07 1.56027e+06 325.3 92.5824 13.8124 1.15061 97603.1 295.886 0.778592 -124292 9.79728 4931.22 0.268511 -9.76974 1585.7 0.3253 
7.2 3.69618e+07 1.55869e+06 334.627 93.9636 13.834 1.14961 97498 295.825 0.77951 -128067 9.79725 5075.03 0.272544 -9.76967 1585.7 0.334627 
7.3 3.69618e+07 1.5571e+06 344.092 95.347 13.8556 1.14859 97391.5 295.764 0.780446 -131908 9.79722 5220.94 0.276586 -9.7696 1585.7 0.344092 
7.4 3.69618e+07 1.55552e+06 353.696 96.7326 13.8773 1.14756 97283.5 295.701 0.781401 -135813 9.79719 5368.96 0.280635 -9.76953 1585.7 0.353696 
7.5 3.69618e+07 1.55393e+06 363.439 98.1203 13.8989 1.14651 97174.1 295.638 0.782375 -139785 9.79716 5519.08 0.284691 -9.76945 1585.7 0.363439 
7.6 3.69618e+07 1.55235e+06 373.321 99.5102 13.9205 1.14545 97063.2 295.574 0.783369 -143823 9.79713 5671.3 0.288755 -9.76938 1585.7 0.373321 
7.7 3.69618e+07 1.55076e+06 383.341 100.902 13.9422 1.14438 96950.9 295.508 0.784383 -147927 9.7971 5825.61 0.292827 -9.76931 1585.7 0.383341 
7.8 3.69618e+07 1.54917e+06 393.501 102.296 13.9638 1.14329 96837 295.442 0.785417 -152099 9.79707 5982.02 0.296906 -9.76923 1585.7 0.393501 
7.9 3.69618e+07 1.54759e+06 403.801 103.693 13.9854 1.14219 96721.8 295.375 0.786472 -156339 9.79703 6140.52 0.300993 -9.76915 1585.7 0.403801 
8 3.69618e+07 1.546e+06 414.24 105.091 14.0071 1.14107 96605.1 295.308 0.787547 -160647 9.797 6301.12 0.305088 -9.76908 1585.7 0.41424 
8.1 3.69618e+07 1.54442e+06 424.819 106.492 14.0287 1.13994 96486.9 295.239 0.788643 -165024 9.79697 6463.8 0.30919 -9.769 1585.7 0.424819 
8.2 3.69618e+07 1.54283e+06 435.538 107.895 14.0503 1.1388 96367.3 295.169 0.789761 -169470 9.79694 6628.56 0.3133 -9.76892 1585.7 0.435538 
8.3 3.69618e+07 1.54125e+06 446.398 109.3 14.072 1.13764 96246.3 295.099 0.790901 -173987 9.7969 6795.4 0.317418 -9.76884 1585.7 0.446398 
8.4 3.69618e+07 1.53966e+06 457.398 110.707 14.0936 1.13647 96123.8 295.027 0.792063 -178573 9.79687 6964.32 0.321544 -9.76875 1585.7 0.457398 
8.5 3.69618e+07 1.53807e+06 468.54 112.117 14.1153 1.13528 95999.9 294.955 0.793247 -183231 9.79684 7135.31 0.325677 -9.76867 1585.7 0.46854 
8.6 3.69618e+07 1.53649e+06 479.822 113.528 14.1369 1.13408 95874.5 294.881 0.794454 -187961 9.7968 7308.37 0.329818 -9.76858 1585.7 0.479822 
8.7 3.69618e+07 1.5349e+06 491.245 114.942 14.1585 1.13287 95747.7 294.807 0.795684 -192763 9.79677 7483.49 0.333967 -9.7685 1585.7 0.491245 
8.8 3.69618e+07 1.53332e+06 502.81 116.358 14.1802 1.13164 95619.5 294.732 0.796938 -197638 9.79673 7660.67 0.338124 -9.76841 1585.7 0.50281 
8.9 3.69618e+07 1.53173e+06 514.517 117.776 14.2018 1.13039 95489.8 294.656 0.798216 -202586 9.79669 7839.91 0.342289 -9.76832 1585.7 0.514517 
9 3.69618e+07 1.53015e+06 526.366 119.196 14.2234 1.12914 95358.7 294.579 0.799519 -207609 9.79666 8021.19 0.346462 -9.76824 1585.7 0.526366 
9.1 3.69618e+07 1.52856e+06 538.356 120.618 14.245 1.12787 95226.2 294.501 0.800846 -212707 9.79662 8204.52 0.350642 -9.76814 1585.7 0.538356 
9.2 3.69618e+07 1.52697e+06 550.489 122.043 14.2666 1.12658 95092.3 294.422 0.802199 -217880 9.79658 8389.89 0.354831 -9.76805 1585.7 0.550489 
9.3 3.69618e+07 1.52539e+06 562.765 123.469 14.2883 1.12528 94956.9 294.342 0.803577 -223129 9.79655 8577.29 0.359028 -9.76796 1585.7 0.562765 
9.4 3.69618e+07 1.5238e+06 575.183 124.898 14.3099 1.12397 94820.2 294.262 0.804981 -228455 9.79651 8766.72 0.363232 -9.76787 1585.7 0.575183 
9.5 3.69618e+07 1.52222e+06 587.745 126.329 14.3315 1.12264 94682 294.18 0.806412 -233859 9.79647 8958.17 0.367445 -9.76777 1585.7 0.587745 
9.6 3.69618e+07 1.52063e+06 600.449 127.762 14.3531 1.1213 94542.4 294.097 0.80787 -239342 9.79643 9151.64 0.371665 -9.76768 1585.7 0.600449 
9.7 3.69618e+07 1.51905e+06 613.297 129.198 14.3746 1.11995 94401.4 294.014 0.809356 -244904 9.79639 9347.11 0.375894 -9.76758 1585.7 0.613297 
9.8 3.69618e+07 1.51746e+06 626.289 130.635 14.3962 1.11858 94259 293.93 0.81087 -250546 9.79635 9544.59 0.380131 -9.76748 1585.7 0.626289 
9.9 3.69618e+07 1.51587e+06 639.424 132.075 14.4178 1.1172 94115.2 293.844 0.812412 -256268 9.79631 9744.06 0.384376 -9.76738 1585.7 0.639424 
10 3.69618e+07 1.51429e+06 652.704 133.516 14.4394 1.1158 93970.1 293.758 0.813984 -262073 9.79627 9945.52 0.388629 -9.76728 1585.7 0.652704 
10.1 3.69618e+07 1.5127e+06 666.128 134.96 14.4609 1.11439 93823.5 293.671 0.815585 -267960 9.79623 10149 0.39289 -9.76718 1585.7 0.666128 
10.2 3.69618e+07 1.51112e+06 679.696 136.406 14.4825 1.11297 93675.5 293.582 0.817216 -273930 9.79619 10354.4 0.39716 -9.76707 1585.7 0.679696 
10.3 3.69618e+07 1.50953e+06 693.409 137.855 14.504 1.11153 93526.2 293.493 0.818879 -279985 9.79614 10561.8 0.401437 -9.76697 1585.7 0.693409 
10.4 3.69618e+07 1.50795e+06 707.267 139.305 14.5255 1.11008 93375.4 293.403 0.820572 -286125 9.7961 10771.1 0.405723 -9.76686 1585.7 0.707267 
10.5 3.69618e+07 1.50636e+06 721.27 140.758 14.547 1.10862 93223.3 293.312 0.822298 -292351 9.79606 10982.4 0.410017 -9.76676 1585.7 0.72127 
10.6 3.69618e+07 1.50477e+06 735.419 142.212 14.5685 1.10714 93069.8 293.22 0.824057 -298664 9.79602 11195.6 0.41432 -9.76665 1585.7 0.735419 
10.7 3.69618e+07 1.50319e+06 749.713 143.669 14.59 1.10565 92915 293.127 0.825849 -305066 9.79597 11410.8 0.41863 -9.76654 1585.7 0.749713 
10.8 3.69618e+07 1.5016e+06 764.153 145.128 14.6115 1.10414 92758.7 293.034 0.827674 -311557 9.79593 11627.8 0.422949 -9.76643 1585.7 0.764153 
10.9 3.69618e+07 1.50002e+06 778.739 146.589 14.6329 1.10262 92601.1 292.939 0.829535 -318138 9.79588 11846.8 0.427277 -9.76632 1585.7 0.778739 
11 3.69618e+07 1.49843e+06 793.471 148.053 14.6544 1.10109 92442.2 292.843 0.831431 -324811 9.79584 12067.7 0.431612 -9.76621 1585.7 0.793471 
11.1 3.69618e+07 1.49685e+06 808.349 149.518 14.6758 1.09954 92281.9 292.746 0.833363 -331576 9.79579 12290.5 0.435956 -9.76609 1585.7 0.808349 
11.2 3.69618e+07 1.49526e+06 823.374 150.986 14.6972 1.09798 92120.2 292.649 0.835332 -338435 9.79575 12515.2 0.440309 -9.76598 1585.7 0.823374 
11.3 3.69618e+07 1.49367e+06 838.546 152.455 14.7186 1.09641 91957.2 292.55 0.837339 -345390 9.7957 12741.8 0.44467 -9.76586 1585.7 0.838546 
11.4 3.69618e+07 1.49209e+06 853.866 153.927 14.74 1.09482 91792.9 292.451 0.839384 -352440 9.79565 12970.2 0.449039 -9.76574 1585.7 0.853866 
11.5 3.69618e+07 1.4905e+06 869.332 155.401 14.7614 1.09322 91627.2 292.35 0.841469 -359588 9.7956 13200.4 0.453417 -9.76562 1585.7 0.869332 
11.6 3.69618e+07 1.48892e+06 884.946 156.877 14.7827 1.09161 91460.2 292.249 0.843594 -366835 9.79556 13432.6 0.457804 -9.7655 1585.7 0.884946 
11.7 3.69618e+07 1.48733e+06 900.708 158.356 14.804 1.08998 91291.9 292.146 0.84576 -374182 9.79551 13666.5 0.462199 -9.76538 1585.7 0.900708 
11.8 3.69618e+07 1.48575e+06 916.617 159.836 14.8253 1.08834 91122.2 292.043 0.847968 -381631 9.79546 13902.3 0.466602 -9.76526 1585.7 0.916617 
11.9 3.69618e+07 1.48416e+06 932.675 161.319 14.8466 1.08669 90951.2 291.938 0.850219 -389183 9.79541 14139.8 0.471014 -9.76514 1585.7 0.932675 
12 3.69618e+07 1.48257e+06 948.881 162.803 14.8678 1.08502 90778.9 291.833 0.852514 -396839 9.79536 14379.2 0.475435 -9.76501 1585.7 0.948881 
12.1 3.69618e+07 1.48099e+06 965.236 164.29 14.889 1.08334 90605.3 291.727 0.854854 -404602 9.79531 14620.3 0.479864 -9.76488 1585.7 0.965236 
12.2 3.69618e+07 1.4794e+06 981.739 165.779 14.9102 1.08165 90430.4 291.62 0.85724 -412473 9.79526 14863.3 0.484302 -9.76476 1585.7 0.981739 
12.3 3.69618e+07 1.47782e+06 998.392 167.27 14.9314 1.07994 90254.2 291.511 0.859673 -420453 9.79521 15108 0.488748 -9.76463 1585.7 0.998392 
12.4 3.69618e+07 1.47623e+06 1015.19 168.763 14.9525 1.07822 90076.6 291.402 0.862154 -428544 9.79516 15354.4 0.493203 -9.7645 1585.7 1.01519 
12.5 3.69618e+07 1.47465e+06 1032.14 170.258 14.9736 1.07649 89897.8 291.292 0.864685 -436749 9.7951 15602.5 0.497667 -9.76437 1585.7 1.03214 
12.6 3.69618e+07 1.47306e+06 1049.25 171.756 14.9947 1.07474 89717.7 291.181 0.867266 -445068 9.79505 15852.4 0.50214 -9.76423 1585.7 1.04925 
12.7 3.69618e+07 1.47147e+06 1066.5 173.255 15.0157 1.07298 89536.4 291.069 0.869899 -453504 9.795 16104 0.506621 -9.7641 1585.7 1.0665 
12.8 3.69618e+07 1.46989e+06 1083.9 174.757 15.0367 1.07121 89353.7 290.956 0.872586 -462060 9.79495 16357.3 0.511111 -9.76396 1585.7 1.0839 
12.9 3.69618e+07 1.4683e+06 1101.45 176.26 15.0577 1.06942 89169.8 290.842 0.875326 -470736 9.79489 16612.3 0.51561 -9.76383 1585.7 1.10145 
13 3.69618e+07 1.46672e+06 1119.15 177.766 15.0786 1.06762 88984.6 290.727 0.878123 -479535 9.79484 16868.9 0.520118 -9.76369 1585.7 1.11915 
13.1 3.69618e+07 1.46513e+06 1137 179.274 15.0995 1.06581 88798.2 290.611 0.880977 -488459 9.79478 17127.1 0.524634 -9.76355 1585.7 1.137 
13.2 3.69618e+07 1.46355e+06 1155 180.784 15.1203 1.06399 88610.5 290.494 0.883889 -497511 9.79473 17387.1 0.529159 -9.76341 1585.7 1.155 
13.3 3.69618e+07 1.46196e+06 1173.16 182.296 15.1411 1.06215 88421.5 290.376 0.886862 -506693 9.79467 17648.6 0.533694 -9.76327 1585.7 1.17316 
13.4 3.69618e+07 1.46037e+06 1191.46 183.81 15.1619 1.0603 88231.3 290.257 0.889897 -516007 9.79461 17911.7 0.538237 -9.76312 1585.7 1.19146 
13.5 3.69618e+07 1.45879e+06 1209.92 185.326 15.1826 1.05844 88039.9 290.137 0.892996 -525456 9.79456 18176.4 0.542788 -9.76298 1585.7 1.20992 
13.6 3.69618e+07 1.4572e+06 1228.53 186.845 15.2032 1.05656 87847.2 290.016 0.89616 -535043 9.7945 18442.7 0.547349 -9.76283 1585.7 1.22853 
13.7 3.69618e+07 1.45562e+06 1247.29 188.365 15.2238 1.05467 87653.3 289.894 0.899391 -544771 9.79444 18710.6 0.551919 -9.76269 1585.7 1.24729 
13.8 3.69618e+07 1.45403e+06 1266.2 189.887 15.2444 1.05277 87458.2 289.771 0.902691 -554642 9.79439 18979.9 0.556497 -9.76254 1585.7 1.2662 
13.9 3.69618e+07 1.45245e+06 1285.27 191.412 15.2649 1.05086 87261.9 289.647 0.906062 -564659 9.79433 19250.9 0.561085 -9.76239 1585.7 1.28527 
14 3.69618e+07 1.45086e+06 1304.48 192.938 15.2853 1.04893 87064.4 289.523 0.909506 -574826 9.79427 19523.3 0.565682 -9.76224 1585.7 1.30448 
14.1 3.69618e+07 1.44927e+06 1323.85 194.467 15.3057 1.04699 86865.6 289.397 0.913025 -585146 9.79421 19797.2 0.570287 -9.76209 1585.7 1.32385 
14.2 3.69618e+07 1.44769e+06 1343.38 195.997 15.326 1.04504 86665.7 289.27 0.916621 -595622 9.79415 20072.5 0.574902 -9.76193 1585.7 1.34338 
14.3 3.69618e+07 1.4461e+06 1363.05 197.53 15.3463 1.04307 86464.6 289.142 0.920297 -606258 9.79409 20349.4 0.579525 -9.76178 1585.7 1.36305 
14.4 3.69618e+07 1.44452e+06 1382.88 199.065 15.3664 1.0411 86262.3 289.013 0.924055 -617057 9.79403 20627.6 0.584158 -9.76162 1585.7 1.38288 
14.5 3.69618e+07 1.44293e+06 1402.87 200.601 15.3866 1.03911 86058.8 288.883 0.927897 -628024 9.79397 20907.3 0.588799 -9.76146 1585.7 1.40287 
14.6 3.69618e+07 1.44135e+06 1423 202.14 15.4066 1.03711 85854.2 288.753 0.931826 -639162 9.7939 21188.4 0.59345 -9.7613 1585.7 1.423 
14.7 3.69618e+07 1.43976e+06 1443.29 203.681 15.4266 1.03509 85648.3 288.621 0.935845 -650476 9.79384 21470.8 0.59811 -9.76114 1585.7 1.44329 
14.8 3.69618e+07 1.43817e+06 1463.74 205.223 15.4464 1.03307 85441.4 288.488 0.939957 -661969 9.79378 21754.6 0.602778 -9.76098 1585.7 1.46374 
14.9 3.69618e+07 1.43659e+06 1484.34 206.768 15.4662 1.03103 85233.2 288.354 0.944164 -673648 9.79372 22039.8 0.607456 -9.76082 1585.7 1.48434 
15 3.69618e+07 1.435e+06 1505.09 208.314 15.4859 1.02898 85024 288.219 0.94847 -685516 9.79365 22326.2 0.612143 -9.76065 1585.7 1.50509 
15.1 3.69618e+07 1.43342e+06 1526 209.863 15.5055 1.02692 84813.6 288.083 0.952878 -697578 9.79359 22614 0.616839 -9.76049 1585.7 1.526 
15.2 3.69618e+07 1.43183e+06 1547.07 211.414 15.5251 1.02484 84602 287.947 0.957391 -709840 9.79352 22903 0.621544 -9.76032 1585.7 1.54707 
15.3 3.69618e+07 1.43025e+06 1568.28 212.966 15.5445 1.02276 84389.3 287.809 0.962013 -722307 9.79346 23193.3 0.626258 -9.76015 1585.7 1.56828 
15.4 3.69618e+07 1.42866e+06 1589.66 214.521 15.5638 1.02066 84175.6 287.67 0.966747 -734985 9.79339 23484.8 0.630982 -9.75998 1585.7 1.58966 
15.5 3.69618e+07 1.42707e+06 1611.19 216.077 15.583 1.01855 83960.7 287.53 0.971598 -747881 9.79333 23777.6 0.635714 -9.75981 1585.7 1.61119 
